0.000000000000000000e-00 0.000000000000000000e+00 2.092857142857142694e-01
1.699936797793140386e-02 7.970718188972795992e-02 3.172273711506903293e-01
4.010831658175970094e-02 1.593384715469408353e-01 4.166164607499616146e-01
6.916178827134256135e-02 2.386882823472831483e-01 5.073270047675516592e-01
1.036111843955952877e-01 3.173732636781612104e-01 5.891768122529769114e-01
1.428943520471866457e-01 3.947850890549171599e-01 6.619596302927913678e-01
1.864415906455162419e-01 4.701991098090877452e-01 7.256450221134217449e-01
2.336873624719536802e-01 5.427821760446136512e-01 7.803910050541009724e-01
2.840813882512446820e-01 6.116308198342833569e-01 8.264931057627399325e-01
3.370948898447697073e-01 6.758296617844716803e-01 8.644351382583269627e-01
3.922478626739848151e-01 7.343868258438651653e-01 8.952018573568137905e-01
4.491228641409977240e-01 7.865958487915413189e-01 9.197743794249271243e-01
5.073623294068952960e-01 8.320658317528200065e-01 9.390855094602229558e-01
5.666655463308861718e-01 8.707214401992633412e-01 9.540197410910868925e-01
6.267856304094424624e-01 9.028029039486760166e-01 9.654132565767338248e-01
6.875269780789732277e-01 9.287670720636383992e-01 9.740768182342830483e-01
7.487418579763642779e-01 9.491039862268476623e-01 9.806830915637058110e-01
8.103170594381711167e-01 9.645458144907169684e-01 9.857033911606248866e-01
8.721664775832986827e-01 9.759570952518894504e-01 9.895338363817482996e-01
9.342249605206884855e-01 9.841508244068055689e-01 9.924406911221070882e-01
9.964409282379795840e-01 9.898141940712651410e-01 9.946156602453994910e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
